Timestamp[nanosec],gx[rad/s],gy[rad/s],gz[rad/s],ax[m/s^2],ay[m/s^2],az[m/s^2],Unix time[nanosec]
961749435255514,-2.6631588E-4,0.0038615803,-0.0017310532,0.32099414,0.27548003,-9.57353,1657487980941000000
961749437762181,7.9894764E-4,-3.9947382E-4,-0.0027963168,0.33057603,0.31859866,-9.39866,1657487980941000000
961749440268900,0.0029294747,-0.004660528,-0.0017310532,0.28326535,0.35213536,-9.909496,1657487980944000000
961749442775566,-0.0013315794,-0.0025300009,3.9947382E-4,0.28326535,0.35213536,-9.909496,1657487980944000000
961749445282285,-0.0034621065,0.0027963168,-0.0017310532,0.3545308,0.2994348,-9.569338,1657487980947000000
961749447788952,7.9894764E-4,0.0027963168,3.9947382E-4,0.3545308,0.2994348,-9.569338,1657487980953000000
961749450295671,0.0018642112,-0.0014647373,0.0014647373,0.20661002,0.390463,-9.885541,1657487980955000000
961749452802337,-2.6631588E-4,-0.0035952644,3.9947382E-4,0.26889247,0.30422577,-10.051428,1657487980955000000
961749455309056,-2.6631588E-4,6.657897E-4,0.0014647373,0.26889247,0.30422577,-10.051428,1657487980956000000
961749457815723,-2.6631588E-4,-3.9947382E-4,-0.0017310532,0.37848562,0.3233896,-9.625631,1657487980958000000
961749460322441,7.9894764E-4,6.657897E-4,-0.0017310532,0.2641015,0.30901673,-9.739417,1657487980962000000
961749462829108,7.9894764E-4,-3.9947382E-4,-0.0027963168,0.2641015,0.30901673,-9.739417,1657487980963000000
961749465335827,-0.002396843,-3.9947382E-4,-0.0017310532,0.32578507,0.31859866,-9.460343,1657487980965000000
961749467842493,-0.0013315794,-0.0025300009,-0.0038615803,0.34973988,0.2994348,-9.531011,1657487980970000000
961749470349212,-2.6631588E-4,-0.0025300009,3.9947382E-4,0.2305648,0.33776248,-9.682525,1657487980975000000
961749472855879,7.9894764E-4,-0.0035952644,0.0014647373,0.25931054,0.35213536,-10.202343,1657487980976000000
961749475362598,7.9894764E-4,0.0038615803,0.0025300009,0.25931054,0.35213536,-10.202343,1657487980978000000
961749477869264,-2.6631588E-4,0.0027963168,0.0035952644,0.2976382,0.29464385,-9.602276,1657487980978000000
961749480375983,0.0029294747,-0.004660528,3.9947382E-4,0.25931054,0.34255344,-9.687315,1657487980980000000
961749482882650,7.9894764E-4,-0.004660528,-0.0017310532,0.30242917,0.36171725,-10.372422,1657487980984000000
961749485389368,-0.0034621065,-3.9947382E-4,0.0025300009,0.33057603,0.2994348,-9.247745,1657487980987000000
961749487896035,-2.6631588E-4,6.657897E-4,0.0025300009,0.35932177,0.21798855,-9.592694,1657487980988000000
961749490402754,-0.0013315794,-0.0025300009,-0.0017310532,0.2641015,0.30901673,-9.7484,1657487980995000000
961749492909421,-0.0013315794,-3.9947382E-4,-0.0017310532,0.27368343,0.42879066,-10.339484,1657487980996000000
961749495416139,-0.002396843,0.0027963168,0.0014647373,0.32099414,0.31859866,-9.233372,1657487980997000000
961749497922806,0.0018642112,-3.9947382E-4,-6.657897E-4,0.335367,0.2563162,-9.484299,1657487980999000000
961749500429525,0.0050600017,-0.0035952644,3.9947382E-4,0.335367,0.2563162,-9.484299,1657487981003000000
961749502936191,-0.0013315794,-0.0014647373,-6.657897E-4,0.34494892,0.32818055,-9.304638,1657487981007000000
961749505442910,-0.002396843,0.005992107,3.9947382E-4,0.34494892,0.32818055,-9.304638,1657487981008000000
961749507949577,0.0018642112,-3.9947382E-4,0.0015978953,0.34494892,0.32818055,-9.304638,1657487981009000000
961749510456296,7.9894764E-4,-0.0057257917,5.3263176E-4,0.2682936,0.3138077,-9.75379,1657487981012000000
961749512962962,-0.0013315794,-0.0014647373,-0.0026631588,0.3545308,0.3473444,-9.247745,1657487981016000000
961749515469681,-0.002396843,0.0049268436,-0.0015978953,0.3545308,0.3473444,-9.247745,1657487981016000000
961749517976348,-2.6631588E-4,6.657897E-4,5.3263176E-4,0.3545308,0.3473444,-9.247745,1657487981021000000
961749520483066,-2.6631588E-4,-0.006791055,5.3263176E-4,0.24433881,0.30422577,-9.866976,1657487981021000000
961749522989733,-2.6631588E-4,-0.0025300009,-5.3263176E-4,0.31620318,0.3329715,-10.410749,1657487981030000000
961749525496452,-0.002396843,0.0027963168,0.0015978953,0.34973988,0.34255344,-9.427405,1657487981030000000
961749528003118,-0.0013315794,0.0017310532,-5.3263176E-4,0.34973988,0.280271,-9.129767,1657487981033000000
961749530509837,0.0029294747,-0.008921582,-0.0015978953,0.34973988,0.280271,-9.129767,1657487981033000000
961749533016504,0.0018642112,-3.9947382E-4,5.3263176E-4,0.23954785,0.28985292,-9.853202,1657487981034000000
